ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES
GCF_010015735.1_Aaoar1,1450171,Aaosphaeria arxii,CBS 175.79,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,,Aaosphaeria,Aaosphaeria arxii
GCA_022606235.1_Abobie1,137743,Abortiporus biennis,CIRM-BRFM 1778,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
GCA_900079185.1_AG_v1,4829,Absidia glauca,CBS 101.48 substr. RVII-324 met-,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
GCA_019677225.1_ASM1967722v1,2733465,Absidia healeyae,UoMAU1
GCA_002105175.1_Absrep1,90262,Absidia repens,NRRL 1336,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia repens
GCA_019677255.1_ASM1967725v1,2735258,Absidia sp. UoMAU379,UoMAU379
GCF_003144295.1_Acain1,215250,Acaromyces ingoldii,MCA 4198,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Exobasidiales,Cryptobasidiaceae,Acaromyces,Acaromyces ingoldii
GCA_022814355.1_ASM2281435v1,2871812,Acarospora aff. strigata,T1882,Ascomycota,Pezizomycotina,Lecanoromycetes,Acarosporomycetidae,Acarosporales,Acarosporaceae,Acarospora,Acarospora aff. strigata
GCA_004114255.1_ASM411425v1,1172177,Acaulopage tetraceros,T-All,Zoopagomycota,Zoopagomycotina,Zoopagomycetes,,Zoopagales,Zoopagaceae,Acaulopage,Acaulopage tetraceros
GCA_910592055.1_Acaulospora_colombiana_CL356,27376,Acaulospora colombiana,CL356,Mucoromycota,Glomeromycotina,Glomeromycetes,,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora colombiana
GCA_910591835.1_Acaulospora_morrowiae_CL551,94023,Acaulospora morrowiae,CL551,Mucoromycota,Glomeromycotina,Glomeromycetes,,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora morrowiae
GCA_014904845.1_Acema1,886606,Acephala macrosclerotiorum,EW76-UTF0540,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Mollisiaceae,Acephala,Acephala macrosclerotiorum
GCA_003707435.1_ASM370743v1,43968,Aciculoconidium aculeatum,NRRL YB-4298,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Aciculoconidium,Aciculoconidium aculeatum
