ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,ASM_LENGTH,N50,ASM_NAME
GCF_010015735.1,Aaosphaeria arxii CBS 175.79,CBS 175.79,1450172,PRJNA234399,38901049,4421818,Aaoar1
GCA_022813625.1,Aaosphaeria pasadenensis,FJI-L9-BK-P1,3025424,PRJNA800051,38797400,943274,ASM2281362v1
GCA_022606235.1,Abortiporus biennis,CIRM-BRFM 1778,137743,PRJNA444028,33118568,721010,Abobie1
GCA_977092135.1,Absidia cylindrospora,,213030,PRJEB65317;PRJEB95971;PRJNA533106,53713483,6355852,gzAbsCyli1
GCA_900079185.1,Absidia glauca,CBS 101.48 substr. RVII-324 met-,4829,PRJEB13349,48746359,318481,AG_v1
GCA_019677225.1,Absidia healeyae,UoMAU1,2733465,PRJNA630489,43508936,33835,ASM1967722v1
GCA_002105175.1,Absidia repens,NRRL 1336,90262,PRJNA330702,47422896,1295254,Absrep1
GCA_019677255.1,Absidia sp. UoMAU379,UoMAU379,2735258,PRJNA630491,49417851,19150,ASM1967725v1
GCA_050656845.1,Absidia sp. YW-2025a,CGMCC 3.27810,3423207,PRJNA1262716,39705958,23128,ASM5065684v1
GCA_050656855.1,Absidia sp. YW-2025b,CGMCC 3.27811,3423208,PRJNA1262904,41966289,10950,ASM5065685v1
GCA_964256675.1,Acanthothecis fontana,,2569847,PRJEB77567,29526551,20211,public_SRR14721923_metabat2_bin.2
GCF_003144295.1,Acaromyces ingoldii,MCA 4198,215250,PRJNA247834,19330111,3164722,Acain1
GCA_022814355.1,Acarospora aff. strigata,T1882,2871812,PRJNA795879,28651879,159985,ASM2281435v1
GCA_025617375.2,Acarospora socialis,JNA_AS_CCGP158,1307805,PRJNA851476,31105086,2402664,glAcaSoci1.1
GCA_964255005.1,Acarospora sp. Tripp_6053_NY-2858381,,2841863,PRJEB77567,20639300,17123,public_SRR14722090_metabat2_bin.14
GCA_004114255.1,Acaulopage tetraceros,T-All,1172177,PRJNA451036,11176780,53277,ASM411425v1
GCA_910592055.1,Acaulospora colombiana,CL356,27376,PRJEB45340,299808427,8208,Acaulospora_colombiana_CL356
GCA_910591835.1,Acaulospora morrowiae,CL551,94023,PRJEB45340,218774155,6189,Acaulospora_morrowiae_CL551
GCA_014904845.1,Acephala macrosclerotiorum,EW76-UTF0540,886606,PRJNA334316,73683338,172550,Acema1
GCA_031001845.1,Achaetomiella virescens,148.68,1934374,PRJNA945858,34258665,197114,ASM3100184v1
GCA_033296875.1,Achaetomium macrosporum,CBS 532.94,79813,PRJNA441724,32434019,76086,Achma1
GCA_030579395.1,Aciculoconidium aculeatum,NRRL YB-4298,43968,PRJNA736342,17953185,260810,ASM3057939v1
GCA_000222935.2,Aciculosporium take MAFF-241224,MAFF-241224,1036760,PRJNA67241,58836405,40517,AciTa_1.0
GCA_019670975.1,Acidiella bohemica,SYSU C17045,1176733,PRJNA725650,26833561,1164001,ASM1967097v1
GCA_001592465.1,Acidomyces richmondensis BFW,BFW,766039,PRJNA207869,29881346,41652,Acidomyces_richmondensis_BFW_v1.0
GCA_001572075.1,Acidomyces sp. 'richmondensis',meta,245562,PRJNA248220;PRJNA248226,26819972,45775,ASM157207v1
GCA_054490815.1,Acremonium polychromum,NFCCI 6138,1036751,PRJNA1338585,43163810,5492844,RUAS_VINSTROM
GCA_020087035.1,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5,2778101,PRJNA644637,34452312,951391,ASM2008703v1
GCA_028476805.1,Acrocalymma vagum,A21,1589764,PRJNA921830,55745741,129927,ASM2847680v1
GCA_033807595.1,Acrodontium crateriforme,169a,150365,PRJNA1034788,23050344,1746009,ASM3380759v1
GCA_016098155.1,Actinomortierella ambigua,BC1065,1343610,PRJNA463334,37923144,48912,UCR_MambBC1055_1.0
GCA_016098105.1,Actinomortierella wolfii,NRRL 6351,90253,PRJNA340479,34232935,93672,UCR_MwolfiiNRRL6351_1.0
GCA_026027325.1,Actinomucor elegans,CJ-6,64647,PRJNA848933,36533736,3043051,ASM2602732v1
GCA_004216415.1,Aeminium ludgeri,E14,2518135,PRJNA520871,22585551,181365,S18-22
GCA_038094355.1,Afroboletus lepidellus,UT-M0000099,3095450,PRJNA1022813,60239942,4823,BD703-Stobilomyces-lepidellus
GCA_002718315.1,Agaricales sp. HM26-F1,HM26-F1,2607230,PRJNA388831,32238363,1023127,ASM271831v1
GCA_006228365.1,Agaricus bisporus,KMCC00540,5341,PRJNA534383,33045762,2758943,ASM622836v1
GCA_001682475.1,Agaricus bisporus var. bisporus,H39,192523,PRJNA61005,30784214,2477729,ASM168247v1
GCF_000300575.1,Agaricus bisporus var. bisporus H97,H97,936046,PRJNA61005,30233745,2334609,Agabi_varbisH97_2
GCA_014872705.1,Agaricus bisporus var. burnettii,H119_p4,192524,PRJNA635555,30702502,1931181,ASM1487270v1
GCF_000300555.1,Agaricus bisporus var. burnettii JB137-S8,JB137-s8,597362,PRJNA61007,32614392,1225131,Agabi_varbur_1
GCA_030246685.1,Agaricus bitorquis,BH01,5343,PRJNA946023,32345193,2052213,ASM3024668v1
GCA_029719445.1,Agaricus blazei,JA-15036,79798,PRJNA532471,38686133,1826870,ASM2971944v1
GCA_022315185.1,Agaricus sinodeliciosus,ZRL20160001-S65,1550288,PRJNA744025,32482119,1466131,ASM2231518v1
GCA_029945375.1,Agaricus subrufescens,ABL 49,87252,PRJNA926637,44531294,3166853,Asub-V01
GCA_029231695.1,Agmasoma sp. JBojko-2022a,v2,2984836,PRJNA888961,1626467,2550,Cm_Agmasoma_carcini_1
GCA_041475395.1,Agroathelia delphinii,SD,180424,PRJNA1031343,72081797,4132461,ASM4147539v1
GCA_018343915.1,Agroathelia rolfsii,GP3,39291,PRJNA635225,37673359,4408868,ASM1834391v1
GCA_027627235.1,Agrocybe chaxingu,MP-N11,84603,PRJNA855555,40343159,18131,Agrocybe_chaxingu_MP-N11_reassembly
GCA_013053245.1,Agrocybe pediades,CBS 102.39,84607,PRJNA496353,45149591,2723584,LU_AGP_1.0
GCA_964017145.1,Agrocybe praecox,,71668,PRJEB40665;PRJEB43510;PRJEB43745;PRJEB63448;PRJEB74180;PRJNA533106,59234987,3782526,gfAgrPrae1.1
GCA_051996675.1,Agrocybe striatipes,ZRL20211296,3018807,PRJNA1223616,62006326,223684,ASM5199667v1
GCA_022814335.1,Agyrium rufum,Spribille 39798,443868,PRJNA795879,28047069,240237,ASM2281433v1
GCA_051529075.1,Akanthomyces attenuatus,MUC8126,2259046,PRJNA1074702,34438778,118580,YNP63
GCA_051527285.1,Akanthomyces dipterigenus,MUC9702,132109,PRJNA1074702,30843273,225208,YNP42
GCA_001653215.1,Akanthomyces lecanii,UM487,2714763,PRJNA311919,32603708,21726,ASM165321v1
GCA_001636795.1,Akanthomyces lecanii RCEF 1005,RCEF 1005,1081108,PRJNA72733,35594087,3946369,LEL_1.0
GCF_028009165.1,Akanthomyces muscarius,Ve6,2231603,PRJNA777543,36207525,4856708,ASM2800916v1
GCA_051528755.1,Akanthomyces sp. G78,G78,3120208,PRJNA1074702,27621873,77940,YNP78
GCA_030778065.2,Akanthomyces uredinophilus,MBC 350,2487154,PRJNA879330,33406109,126659,ASM3077806v2
GCA_003314395.1,Albatrellus ellisii,MG60,80570,PRJNA454572,122761634,18141,ASM331439v1
GCA_003314695.1,Albatrellus sp. MG142,MG142,2175974,PRJNA454572,59385241,4375,ASM331469v1
GCA_020081605.1,Albifimbria verrucaria,IMI 368023,1859699,PRJNA736674,48482211,5352524,ASM2008160v1
GCA_051623215.1,Albophoma yamanashiensis,EHU_M98,1635095,PRJNA990765,31514761,3368458,EHU_AYaman_Ill_Nano
GCA_043388365.1,Albopleistophora grylli,EB-2024a,3367401,PRJNA1168716,5873605,118557,UoE_Agrylli_1
GCA_905337325.1,Alectoria fallacina,,1903189,PRJEB42325,65236659,75592,GTX0161_lecanoromycete
GCA_964257205.1,Alectoria ochroleuca,,111641,PRJEB77567,40208408,240478,private_VT19_concoct_bin.7
GCA_964255965.1,Alectoria sarmentosa,,111643,PRJEB77567,31580949,120336,private_X12_concoct_bin.4
GCA_024752435.1,Allantophomopsis cytisporea,ATCC 66955,1484957,PRJNA866153,34816014,1994825,ASM2475243v1
GCA_024752465.1,Allantophomopsis lycopodina,ATCC 66958,334518,PRJNA866153,33865253,1918003,ASM2475246v1
GCA_030581615.1,Alloascoidea africana,NRRL Y-6762-3,27309,PRJNA736342,23700382,294430,ASM3058161v1
GCA_001600815.1,Alloascoidea hylecoeti,JCM 7604,54196,PRJDB3556;PRJDB3734,24815695,949999,JCM_7604_assembly_v001
GCA_030565225.1,Allodekkera sacchari,CBS 14167,1936035,PRJNA736342,13278534,138291,ASM3056522v1
GCA_027604705.1,Allomyces arbusculus,Burma 1F,64504,PRJNA581157,26482826,317448,ASM2760470v1
GCA_027604645.1,Allomyces javanicus,California 12,64505,PRJNA581158,29927322,104684,ASM2760464v1
GCA_000151295.1,Allomyces macrogynus ATCC 38327,ATCC 38327,578462,PRJNA167910;PRJNA176382;PRJNA20563;PRJNA71873,57060573,1114524,A_macrogynus_V3
GCA_053542345.1,Alternaria alstroemeriae,L6,1111114,PRJNA1328452,33391749,1176075,ASM5354234v1
GCA_036971565.1,Alternaria alternarina,TB-1129,1281297,PRJNA748521,33307802,1175178,ALTB1129b1.0
GCF_001642055.1,Alternaria alternata,SRC1lrK2f,5599,PRJNA239482,32990834,1097884,Altal1
GCA_022814545.1,Alternaria angustiovoidea,FKII-L2-CM-DRAB1,1187901,PRJNA800051,34215686,1397744,ASM2281454v1
GCF_004154835.1,Alternaria arborescens,FERA 675,156630,PRJNA360212,33943449,862606,ASM415483v1
GCA_000256225.1,Alternaria arborescens EGS 39-128,EGS 39-128,1122867,PRJNA78243,33889384,310869,A_arborescens_1.0
GCF_024043155.1,Alternaria arbusti,BMP 1465,232088,PRJNA706766,33977964,1678447,ASM2404315v1
GCF_907166805.1,Alternaria atra,CS162,119953,PRJEB42493,39606256,3893166,ALTATR162
GCA_036768465.1,Alternaria brassicae,PNT,29911,PRJNA1071297,33821513,3537936,ASM3676846v1
GCA_977862185.1,Alternaria brassicicola,,29001,PRJEB104865,31024200,2455780,Abra43_GG
GCA_000174375.1,Alternaria brassicicola ATCC 96836,ATCC 96836,622360,PRJNA34523,29536471,18835,ASM17437v1
GCF_013036055.1,Alternaria burnsii,CBS107.38,1187904,PRJNA600135,32958128,1805719,ASM1303605v1
GCA_020284155.1,Alternaria cf. alternata,R-IC-06-P1,2738401,PRJNA644637,33706137,2024098,ASM2028415v1
GCA_047302185.1,Alternaria chlamydospora,SC11,1187911,PRJNA1190708,36398649,3252568,ASM4730218v1
GCF_024043145.1,Alternaria conjuncta,BMP 0040,181017,PRJNA706766,36109959,1896824,ASM2404314v1
GCA_001950455.1,Alternaria consortialis,JCM 1940,230004,PRJDB3556;PRJDB3614,34240857,2769894,JCM_1940_assembly_v001
GCF_042100115.1,Alternaria dauci,A2016,48095,PRJNA991970,34906709,3442401,ASM4210011v1
GCA_037044395.1,Alternaria destruens,LH_A593,230003,PRJNA1025352,35492060,1091695,ASM3704439v1
GCF_023757985.1,Alternaria ethzedia,BMP 0044,181014,PRJNA706766,36016348,863783,ASM2375798v1
GCA_004156025.2,Alternaria gaisen,FERA 650,167740,PRJNA360212,34346950,2110033,ASM415602v2
GCA_009289805.1,Alternaria gansuensis,LYZ1412,644589,PRJNA574205,75051934,163781,ASM928980v1
GCF_023758085.1,Alternaria hordeiaustralica,BMP 2776,1187925,PRJNA706766,36958049,1053854,ASM2375808v1
GCF_024043165.1,Alternaria incomplexa,BMP 0042,1187928,PRJNA706766,33457300,1850413,ASM2404316v1
GCF_024043175.1,Alternaria infectoria,BMP 0036,45303,PRJNA706766,36515125,1572730,ASM2404317v1
GCA_047834895.1,Alternaria linariae,25,1568907,PRJNA1193289,33101064,2993250,ASM4783489v1
GCA_019059555.1,Alternaria longipes,CBS 540.94,160389,PRJNA736258,39426105,3599223,ASM1905955v1
GCF_023757995.1,Alternaria metachromatica,BMP 0045,283354,PRJNA706766,37283841,1012319,ASM2375799v1
GCF_023758075.1,Alternaria novae-zelandiae,BMP 2774,430562,PRJNA706766,37570309,1242974,ASM2375807v1
GCA_040583965.1,Alternaria oregonensis,DAOMC238619,283353,PRJNA612050,33708848,1025028,DAOMC238619_v1
GCA_019702505.1,Alternaria panax,BNCC115425,48097,PRJNA608755,34756390,4172030,ASM1970250v1
GCA_029783965.1,Alternaria porri,Apn-Nashik,48098,PRJNA916367,32989564,2657264,RDWU_Aporii_p.ctg
GCF_024291825.1,Alternaria postmessia,BMP 2775,1187938,PRJNA706766,34409470,300389,ASM2429182v1
GCA_050230835.1,Alternaria radicina,CBR2,119925,PRJNA967848,34644183,6519692,ASM5023083v1
GCF_020736505.1,Alternaria rosae,MPI-PUGE-AT-0040,1187941,PRJNA347188,33831682,3278090,Altro1
GCA_002952155.1,Alternaria solani,NL03003,48100,PRJNA391093,32779142,2866555,ASM295215v1
GCA_024321975.1,Alternaria sp. 'sect. Undifilum',W740-01,2896643,PRJNA776965,74479813,8867609,ASM2432197v1
GCA_049307025.1,Alternaria sp. ALMS-2024a,ALMS-2024a,3402833,PRJNA1189477,34225481,3102991,Alt_peru_1
GCA_023758125.1,Alternaria sp. Ai002NY15,Ai002NY15,2817039,PRJNA706766,36921486,1255567,ASM2375812v1
GCA_023758005.1,Alternaria sp. BMP 0032,BMP 0032,2817042,PRJNA706766,37291766,976338,ASM2375800v1
GCA_023758145.1,Alternaria sp. BMP 2799,BMP 2799,2817041,PRJNA706766,36402624,1000369,ASM2375814v1
GCA_040584015.1,Alternaria sp. DAOMC 225332,DAOMC225332,3075839,PRJNA612050,32542594,726374,DAOMC225332_v1
GCA_040583805.1,Alternaria sp. DET2042,DET2042,2803140,PRJNA612050,36500761,1641767,DET2042_v1
GCA_040583825.1,Alternaria sp. DET2072,DET2072,2803138,PRJNA612050,36646819,2070373,DET2072_v1
GCA_040583765.1,Alternaria sp. DET2103,DET2103,2803137,PRJNA612050,32969336,1640649,DET2103_v1
GCA_040583745.1,Alternaria sp. DET2104,DET2104,2803136,PRJNA612050,32777410,1313974,DET2104_v1
GCA_040583725.1,Alternaria sp. DET2105,DET2105,2803135,PRJNA612050,33675331,2370420,DET2105_v1
GCA_040583705.1,Alternaria sp. DET2106,DET2106,2803134,PRJNA612050,33787131,2419528,DET2106_v1
GCA_040583685.1,Alternaria sp. DET2107,DET2107,2803133,PRJNA612050,32760427,1458522,DET2107_v1
