ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,ASM_LENGTH,N50,ASM_NAME
GCF_010015735.1,Aaosphaeria arxii CBS 175.79,CBS 175.79,1450172,PRJNA234399,38901049,449405,Aaoar1
GCA_022813625.1,Aaosphaeria pasadenensis,FJI-L9-BK-P1,3025424,PRJNA800051,38797400,711984,ASM2281362v1
GCA_022606235.1,Abortiporus biennis,CIRM-BRFM 1778,137743,PRJNA444028,33118568,721010,Abobie1
GCA_900079185.1,Absidia glauca,CBS 101.48 substr. RVII-324 met-,4829,PRJEB13349,48746359,11176,AG_v1
GCA_019677225.1,Absidia healeyae,UoMAU1,2733465,PRJNA630489,43508936,4223,ASM1967722v1
GCA_002105175.1,Absidia repens,NRRL 1336,90262,PRJNA330702,47422896,1295254,Absrep1
GCA_019677255.1,Absidia sp. UoMAU379,UoMAU379,2735258,PRJNA630491,49417851,2764,ASM1967725v1
GCF_003144295.1,Acaromyces ingoldii,MCA 4198,215250,PRJNA247834,19330111,1252185,Acain1
GCA_022814355.1,Acarospora aff. strigata,T1882,2871812,PRJNA795879,28651879,157971,ASM2281435v1
GCA_025617375.2,Acarospora socialis,JNA_AS_CCGP158,1307805,PRJNA851476,31105086,2402664,glAcaSoci1.1
GCA_004114255.1,Acaulopage tetraceros,T-All,1172177,PRJNA451036,11176780,49495,ASM411425v1
GCA_910592055.1,Acaulospora colombiana,CL356,27376,PRJEB45340,299808427,8208,Acaulospora_colombiana_CL356
GCA_910591835.1,Acaulospora morrowiae,CL551,94023,PRJEB45340,218774155,6189,Acaulospora_morrowiae_CL551
GCA_014904845.1,Acephala macrosclerotiorum,EW76-UTF0540,886606,PRJNA334316,73683338,128081,Acema1
GCA_031001845.1,Achaetomiella virescens,148.68,1934374,PRJNA945858,34258665,197114,ASM3100184v1
GCA_033296875.1,Achaetomium macrosporum,CBS 532.94,79813,PRJNA441724,32434019,70964,Achma1
GCA_030579395.1,Aciculoconidium aculeatum,NRRL YB-4298,43968,PRJNA736342,17953185,260810,ASM3057939v1
GCA_000222935.2,Aciculosporium take MAFF-241224,MAFF-241224,1036760,PRJNA67241,58836405,40517,AciTa_1.0
GCA_019670975.1,Acidiella bohemica,SYSU C17045,1176733,PRJNA725650,26833561,1164001,ASM1967097v1
GCA_003545705.1,Acidomyces sp. 'richmondensis',FRIK2901,245562,PRJNA486357,29249537,1214476,ASM354570v1
GCA_021347865.1,Acremonium sp. CBMAI 1973,CBMAI 1973,2666182,PRJNA588795,35841001,87141,ASM2134786v1
GCA_020087035.1,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5,2778101,PRJNA644637,34452312,519699,ASM2008703v1
GCA_028476805.1,Acrocalymma vagum,A21,1589764,PRJNA921830,55745741,108046,ASM2847680v1
GCA_033807595.1,Acrodontium crateriforme,169a,150365,PRJNA1034788,23050344,1746009,ASM3380759v1
GCA_016098155.1,Actinomortierella ambigua,BC1065,1343610,PRJNA463334,37923144,33511,UCR_MambBC1055_1.0
GCA_016098105.1,Actinomortierella wolfii,NRRL 6351,90253,PRJNA340479,34232935,56063,UCR_MwolfiiNRRL6351_1.0
GCA_026027325.1,Actinomucor elegans,CJ-6,64647,PRJNA848933,36533736,3043051,ASM2602732v1
GCA_004216415.1,Aeminium ludgeri,E14,2518135,PRJNA520871,22585551,144419,S18-22
GCA_038094355.1,Afroboletus lepidellus,UT-M0000099,3095450,PRJNA1022813,60239942,4747,BD703-Stobilomyces-lepidellus
GCA_002718315.1,Agaricales sp. HM26-F1,HM26-F1,2607230,PRJNA388831,32238363,1023127,ASM271831v1
GCA_000300575.2,Agaricus bisporus var. bisporus H97,H97,936046,PRJNA61005,30417844,1652408,ASM30057v2
GCA_030246685.1,Agaricus bitorquis,BH01,5343,PRJNA946023,32345193,2052213,ASM3024668v1
GCA_029719445.1,Agaricus blazei,JA-15036,79798,PRJNA532471,38686133,1826870,ASM2971944v1
GCA_022315185.1,Agaricus sinodeliciosus,ZRL20160001-S65,1550288,PRJNA744025,32482119,1261485,ASM2231518v1
GCA_029945375.1,Agaricus subrufescens,ABL 49,87252,PRJNA926637,44531294,1854625,Asub-V01
GCA_029232285.1,Agmasoma sp. JBojko-2022a,v1,2984836,PRJNA888958,4264503,85488,Ca_Agmasoma_carcini_1
GCA_018343915.1,Agroathelia rolfsii,GP3,39291,PRJNA635225,37673359,4408868,ASM1834391v1
GCA_027627235.1,Agrocybe chaxingu,MP-N11,84603,PRJNA855555,40343159,18052,Agrocybe_chaxingu_MP-N11_reassembly
