ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,ASM_LENGTH,N50,ASM_NAME
GCF_010015735.1,Aaosphaeria arxii CBS 175.79,CBS 175.79,1450172,2;3;4;9;A;J;N;P;PRJNA234399;R,38901049,449405,Aaoar1
GCA_022813625.1,Aaosphaeria pasadenensis,FJI-L9-BK-P1,3025424,0;1;5;8;A;J;N;P;PRJNA800051;R,38797400,711984,ASM2281362v1
GCA_022606235.1,Abortiporus biennis,CIRM-BRFM 1778,137743,0;2;4;8;A;J;N;P;PRJNA444028;R,33118568,721010,Abobie1
GCA_900079185.1,Absidia glauca,CBS 101.48 substr. RVII-324 met-,4829,1;3;4;9;B;E;J;P;PRJEB13349;R,48746359,11176,AG_v1
GCA_019677225.1,Absidia healeyae,UoMAU1,2733465,0;3;4;6;8;9;A;J;N;P;PRJNA630489;R,43508936,4223,ASM1967722v1
GCA_002105175.1,Absidia repens,NRRL 1336,90262,0;2;3;7;A;J;N;P;PRJNA330702;R,47422896,1295254,Absrep1
GCA_019677255.1,Absidia sp. UoMAU379,UoMAU379,2735258,0;1;3;4;6;9;A;J;N;P;PRJNA630491;R,49417851,2764,ASM1967725v1
GCF_003144295.1,Acaromyces ingoldii,MCA 4198,215250,2;3;4;7;8;A;J;N;P;PRJNA247834;R,19330111,1252185,Acain1
GCA_022814355.1,Acarospora aff. strigata,T1882,2871812,5;7;8;9;A;J;N;P;PRJNA795879;R,28651879,157971,ASM2281435v1
GCA_025617375.2,Acarospora socialis,JNA_AS_CCGP158,1307805,1;4;5;6;7;8;A;J;N;P;PRJNA851476;R,31105086,2402664,glAcaSoci1.1
GCA_004114255.1,Acaulopage tetraceros,T-All,1172177,0;1;3;4;5;6;A;J;N;P;PRJNA451036;R,11176780,49495,ASM411425v1
GCA_910592055.1,Acaulospora colombiana,CL356,27376,0;3;4;5;B;E;J;P;PRJEB45340;R,299808427,8208,Acaulospora_colombiana_CL356
GCA_910591835.1,Acaulospora morrowiae,CL551,94023,0;3;4;5;B;E;J;P;PRJEB45340;R,218774155,6189,Acaulospora_morrowiae_CL551
GCA_014904845.1,Acephala macrosclerotiorum,EW76-UTF0540,886606,1;3;4;6;A;J;N;P;PRJNA334316;R,73683338,128081,Acema1
GCA_031001845.1,Achaetomiella virescens,148.68,1934374,4;5;8;9;A;J;N;P;PRJNA945858;R,34258665,197114,ASM3100184v1
GCA_033296875.1,Achaetomium macrosporum,CBS 532.94,79813,1;2;4;7;A;J;N;P;PRJNA441724;R,32434019,70964,Achma1
